Category: All categories

Week,pickleball court: (United States)
2020-03-08,8
2020-03-15,13
2020-03-22,14
2020-03-29,15
2020-04-05,17
2020-04-12,15
2020-04-19,15
2020-04-26,17
2020-05-03,14
2020-05-10,17
2020-05-17,15
2020-05-24,17
2020-05-31,15
2020-06-07,16
2020-06-14,17
2020-06-21,21
2020-06-28,19
2020-07-05,15
2020-07-12,15
2020-07-19,16
2020-07-26,16
2020-08-02,16
2020-08-09,15
2020-08-16,16
2020-08-23,16
2020-08-30,15
2020-09-06,18
2020-09-13,15
2020-09-20,17
2020-09-27,14
2020-10-04,14
2020-10-11,15
2020-10-18,14
2020-10-25,11
2020-11-01,11
2020-11-08,14
2020-11-15,14
2020-11-22,15
2020-11-29,12
2020-12-06,12
2020-12-13,12
2020-12-20,11
2020-12-27,14
2021-01-03,11
2021-01-10,11
2021-01-17,13
2021-01-24,12
2021-01-31,13
2021-02-07,13
2021-02-14,13
2021-02-21,16
2021-02-28,16
2021-03-07,18
2021-03-14,18
2021-03-21,20
2021-03-28,16
2021-04-04,20
2021-04-11,18
2021-04-18,20
2021-04-25,20
2021-05-02,18
2021-05-09,22
2021-05-16,20
2021-05-23,19
2021-05-30,23
2021-06-06,19
2021-06-13,20
2021-06-20,23
2021-06-27,20
2021-07-04,20
2021-07-11,19
2021-07-18,22
2021-07-25,19
2021-08-01,19
2021-08-08,19
2021-08-15,15
2021-08-22,19
2021-08-29,18
2021-09-05,20
2021-09-12,19
2021-09-19,18
2021-09-26,17
2021-10-03,17
2021-10-10,18
2021-10-17,15
2021-10-24,16
2021-10-31,18
2021-11-07,20
2021-11-14,19
2021-11-21,17
2021-11-28,19
2021-12-05,17
2021-12-12,16
2021-12-19,17
2021-12-26,19
2022-01-02,19
2022-01-09,20
2022-01-16,18
2022-01-23,19
2022-01-30,21
2022-02-06,22
2022-02-13,21
2022-02-20,25
2022-02-27,27
2022-03-06,25
2022-03-13,26
2022-03-20,29
2022-03-27,29
2022-04-03,28
2022-04-10,30
2022-04-17,29
2022-04-24,29
2022-05-01,32
2022-05-08,32
2022-05-15,31
2022-05-22,29
2022-05-29,35
2022-06-05,32
2022-06-12,32
2022-06-19,35
2022-06-26,37
2022-07-03,42
2022-07-10,40
2022-07-17,40
2022-07-24,37
2022-07-31,37
2022-08-07,43
2022-08-14,42
2022-08-21,42
2022-08-28,41
2022-09-04,41
2022-09-11,39
2022-09-18,38
2022-09-25,37
2022-10-02,35
2022-10-09,42
2022-10-16,47
2022-10-23,42
2022-10-30,37
2022-11-06,36
2022-11-13,37
2022-11-20,39
2022-11-27,32
2022-12-04,29
2022-12-11,33
2022-12-18,32
2022-12-25,43
2023-01-01,42
2023-01-08,41
2023-01-15,42
2023-01-22,39
2023-01-29,39
2023-02-05,47
2023-02-12,42
2023-02-19,45
2023-02-26,42
2023-03-05,44
2023-03-12,42
2023-03-19,49
2023-03-26,50
2023-04-02,59
2023-04-09,63
2023-04-16,56
2023-04-23,53
2023-04-30,52
2023-05-07,63
2023-05-14,63
2023-05-21,66
2023-05-28,73
2023-06-04,65
2023-06-11,71
2023-06-18,80
2023-06-25,75
2023-07-02,76
2023-07-09,80
2023-07-16,71
2023-07-23,65
2023-07-30,66
2023-08-06,70
2023-08-13,65
2023-08-20,64
2023-08-27,61
2023-09-03,64
2023-09-10,56
2023-09-17,59
2023-09-24,53
2023-10-01,54
2023-10-08,48
2023-10-15,45
2023-10-22,43
2023-10-29,43
2023-11-05,53
2023-11-12,45
2023-11-19,58
2023-11-26,42
2023-12-03,39
2023-12-10,43
2023-12-17,45
2023-12-24,62
2023-12-31,56
2024-01-07,43
2024-01-14,42
2024-01-21,47
2024-01-28,50
2024-02-04,51
2024-02-11,47
2024-02-18,60
2024-02-25,61
2024-03-03,59
2024-03-10,67
2024-03-17,58
2024-03-24,62
2024-03-31,59
2024-04-07,64
2024-04-14,69
2024-04-21,74
2024-04-28,72
2024-05-05,74
2024-05-12,78
2024-05-19,82
2024-05-26,96
2024-06-02,97
2024-06-09,97
2024-06-16,92
2024-06-23,93
2024-06-30,100
2024-07-07,87
2024-07-14,87
2024-07-21,81
2024-07-28,82
2024-08-04,78
2024-08-11,86
2024-08-18,78
2024-08-25,77
2024-09-01,81
2024-09-08,67
2024-09-15,68
2024-09-22,61
2024-09-29,61
2024-10-06,58
2024-10-13,52
2024-10-20,58
2024-10-27,51
2024-11-03,44
2024-11-10,50
2024-11-17,51
2024-11-24,57
2024-12-01,44
2024-12-08,48
2024-12-15,46
2024-12-22,55
2024-12-29,57
2025-01-05,54
2025-01-12,52
2025-01-19,49
2025-01-26,51
2025-02-02,52
2025-02-09,51
2025-02-16,57
2025-02-23,62
2025-03-02,59
2025-03-09,70
